Nick Suzuki	C1	Motors	14
Patrick Kane	RW1	Motors	88
Jaden Schwartz	LW2	Motors	17
Tyler Seguin	C2	Motors	91
Patrik Laine	RW2	Motors	92
Mike Hoffman	LW3	Motors	68
Andrew Copp	C3	Motors	18
Brandon Duhaime	RW3	Motors	12
Blake Lizotte	LW4	Motors	46
Mavrik Bourque	C4	Motors	22
Sam Gagner	RW4	Motors	89
Lane Hutson	LD1	Motors	48
Sean Walker	RD1	Motors	26
Derek Forbort	LD2	Motors	27
Dante Fabbro	RD2	Motors	15
Elias Petersson	LD3	Motors	25
Tyson Barrie	RD3	Motors	8
Casey DeSmith	G1	Motors	1
Yaroslav Askarov	G2	Motors	30
Alex DeBrincat	LW1	Sunshine	93
Sam Reinhart	C1	Sunshine	13
Brock Boeser	RW1	Sunshine	6
Jamie Benn	LW2	Sunshine	14
Tomas Hertl	C2	Sunshine	48
Mathieu Joseph	RW2	Sunshine	71
Oskar Lindblom	LW3	Sunshine	23
Cole Sillinger	C3	Sunshine	4
Givani Smith	RW3	Sunshine	54
Andreas Johnsson	LW4	Sunshine	11
Matthew Rempe	C4	Sunshine	73
Cole Koepke	RW4	Sunshine	45
Artem Zub	LD1	Sunshine	22
Erik Karlsson	RD1	Sunshine	65
Mario Ferraro	LD2	Sunshine	38
Zach Whitecloud	RD2	Sunshine	2
Juuso Valimaki	LD3	Sunshine	44
Will Borgen	RD3	Sunshine	17
Jacob Markstrom	G1	Sunshine	25
Dan Vladar	G2	Sunshine	80
Gustav Nyquist	LW1	Hawks	41
Connor McDavid	C1	Hawks	97
Matt Duchene	RW1	Hawks	95
Victor Olofsson	LW2	Hawks	71
Nick Foligno	C2	Hawks	17
Luke Evangelista	RW2	Hawks	77
Tanner Pearson	LW3	Hawks	70
Lars Eller	C3	Hawks	20
Nathan Bastian	RW3	Hawks	14
Morgan Barron	LW4	Hawks	36
Justin Kirkland	C4	Hawks	54
MacKenzie Entwistle	RW4	Hawks	58
Owen Power	LD1	Hawks	25
Radko Gudas	RD1	Hawks	7
Ben Chiarot	LD2	Hawks	8
Alexandre Carrier	RD2	Hawks	45
Mark Giordano	LD3	Hawks	5
Scott Mayfield	RD3	Hawks	24
Mackenzie Blackwood	G1	Hawks	39
Lukas Dostal	G2	Hawks	1
Matthew Boldy	LW1	Hammerheads	12
Jack Eichel	C1	Hammerheads	9
Jordan Kyrou	RW1	Hammerheads	25
Gabriel Landeskog	LW2	Hammerheads	92
Anthony Cirelli	C2	Hammerheads	71
Ilya Mikheyev	RW2	Hammerheads	95
Sean Kuraly	LW3	Hammerheads	7
Shane Wright	C3	Hammerheads	51
Mattias Janmark	RW3	Hammerheads	13
Ty Dellandrea	LW4	Hammerheads	53
Dalibor Dvorsky	C4	Hammerheads	54
Kevin Stenlund	RW4	Hammerheads	82
Jonas Brodin	LD1	Hammerheads	52
Cam York	RD1	Hammerheads	8
Dmitry Orlov	LD2	Hammerheads	81
Ian Cole	RD2	Hammerheads	28
Oliver Kylington	LD3	Hammerheads	58
Cody Ceci	RD3	Hammerheads	44
Chris Driedger	G1	Hammerheads	60
David Rittich	G2	Hammerheads	31
Kyle Connor	LW1	Ghosts	81
Artturi Lehkonen	C1	Ghosts	62
Jordan Eberle	RW1	Ghosts	7
David Perron	LW2	Ghosts	57
Adam Henrique	C2	Ghosts	19
Maxim Tsyplakov	RW2	Ghosts	71
Jordan Martinook	LW3	Ghosts	48
Jonny Brodzinski	C3	Ghosts	22
Connor Brown	RW3	Ghosts	28
Boris Katchouk	LW4	Ghosts	13
Conor Geekie	C4	Ghosts	14
Jakob Silfverberg	RW4	Ghosts	33
Alexander Romanov	LD1	Ghosts	27
Moritz Seider	RD1	Ghosts	53
Jon Merrill	LD2	Ghosts	4
Tyler Myers	RD2	Ghosts	47
Urho Vaakanainen	LD3	Ghosts	18
Luke Schenn	RD3	Ghosts	5
Linus Ullmark	G1	Ghosts	35
Malcolm Subban	G2	Ghosts	30
Jason Robertson	LW1	Rebels	21
Casey Mittelstadt	C1	Rebels	37
Travis Konecny	RW1	Rebels	11
Juraj Slafkovsky	LW2	Rebels	20
David Kampf	C2	Rebels	64
Valeri Nichushkin	RW2	Rebels	13
Taylor Hall	LW3	Rebels	71
Sam Steel	C3	Rebels	18
Cole Smith	RW3	Rebels	36
Austin Watson	LW4	Rebels	24
Josh Doan	C4	Rebels	91
Vasily Podkolzin	RW4	Rebels	92
Vince Dunn	LD1	Rebels	29
Adam Fox	RD1	Rebels	23
Vladislav Gavrikov	LD2	Rebels	84
Jacob Trouba	RD2	Rebels	8
Jalen Chatfield	LD3	Rebels	5
Colin Miller	RD3	Rebels	6
Jack Campbell	G1	Rebels	30
Jaroslav Halak	G2	Rebels	41
Sean Monahan	LW1	Blood Hounds	23
Jack Hughes	C1	Blood Hounds	86
Mason Marchment	RW1	Blood Hounds	27
Trent Frederic	LW2	Blood Hounds	21
Phillip Danault	C2	Blood Hounds	24
Jake DeBrusk	RW2	Blood Hounds	73
Mark Jankowski	LW3	Blood Hounds	77
Ryan Poehling	C3	Blood Hounds	25
Blake Wheeler	RW3	Blood Hounds	17
Patrick Maroon	LW4	Blood Hounds	19
Noah Gregor	C4	Blood Hounds	9
Dryden Hunt	RW4	Blood Hounds	15
Jaccob Slavin	LD1	Blood Hounds	74
Christopher Tanev	RD1	Blood Hounds	8
Alec Martinez	LD2	Blood Hounds	14
Ryan Graves	RD2	Blood Hounds	33
Simon Benoit	LD3	Blood Hounds	2
Henry Thrun	RD3	Blood Hounds	3
Semyon Varlamov	G1	Blood Hounds	40
Jonas Johansson	G2	Blood Hounds	31
Conor Garland	LW1	Metrostars	83
Josh Norris	C1	Metrostars	13
